yourlist:M20210221A94466D2655679D1FD8953E075198DA8046206A	Entry
107987425	A0A0G2JN67
107987425	A0A0G2JNB3
79168	U5XH19
102725035,107987462	O75022
107987462	A0A0G2JMM1
11006	Q8NHJ6
11006	A0A0A0MSZ8
10990	O75023
10288	A2IXV5
10859	Q8NHL6
10859	A0A087WSV6
10859	A0A087WSX8
10859	A0A0B4J1W1
10859	A8MVE2
10859	D9IDM5
11024	O75019
23547	P59901
353514	A6NI73
11026	Q8N6C8
11027	Q8N149
11027	A8MZH0
441272	A6NKU9
100310812	A6NHP3
441273	Q495Y8
441273	I6XC90
729597	P0CI01
285955	Q8NFV5
285955	A0A494C1S0
442590	A6NIY4
102723555	A6NNV3
388333	A6NLX3
100132285	P43631
100132285	A0A0G2JPR7
100132285	A0A1W2PSB7
100132285	K7R1S5
100132285	O43755
100132285	O75579
100132285	Q14950
100132285	Q32MZ1
3808	Q14952
3808	K7QT50
3810	Q14953
3810	A0A7D4Y677
3802	P43626
3802	A0A376A8M1
3802	Q6H2H2
3802	Q6H2H3
3806	Q14954
3806	A0A7D4Y6C7
3806	B1N8M6
3809	P43632
3809	A0A0C4ZN05
3809	A0A0C4ZN30
3809	A0A1W2PR63
3809	Q86VI6
3809	Q8NHJ0
3803	P43627
3803	Q6H2H0
3803	Q8N742
3804	P43628
3804	E3NZD8
3813	Q14943
3813	A0A0G2JN05
3813	O43469
3813	Q4KN23
3813	Q99565
3811	P43629
3811	Q5UCE2
3811	Q6H2G3
3811	Q8N6C9
3812	P43630
3812	A0A0U1WNF3
3812	Q8NHI6
3812	Q8NHK6
115653	A0A0B4J1R5
3805	Q99706
3805	A0A0B4J1S6
3805	A0A376A929
553128	Q8NHK4
57292	Q8N109
57292	A0A191URI1
4586	P98088
727897	Q9HC84
1951	Q9NYQ7
1952	Q9HCU4
9620	Q9NYQ6
57643	Q9P217
57688	Q9HCJ5
65249	Q9H7M6
65249	Q9HA55
10780	Q14588
10780	A0A024R0N3
342909	Q2VY69
7767	Q9NZL3
7638	Q9UK13
7673	Q9UK12
7766	Q9UK11
7773	Q9UIE0
7711	Q12901
7768	Q9UK10
353355	A6NK53
353355	K7ER86
7596	Q02386
7769	Q9NYT6
7769	A0A024R0P4
7769	B2RBM0
7769	Q9NR94
342892	A8MQ14
342892	A0A087X0M6
388536	Q6PG37
388536	B4DMI3
51276	Q7Z3V5
51276	A0A024R0L0
51276	A8K5U8
163131	Q9Y6R6
163131	A0A024R0P7
284323	O75290
284323	Q05CQ7
163255	Q8NDQ6
284406	Q8N141
284406	D3Y299
163087	Q8NA42
84924	Q969W8
84924	B4DRR6
5211	P17858
5211	Q7L2M7
5213	P08237
5213	A0A024R0Y5
5213	A0A2R8Y891
5214	Q01813
5214	B1APP6
22829	Q8NFZ3
22829	A0A024R9E7
22829	B4DHI3
57502	Q8N0W4
57502	A0A024RBV0
57502	A8K4S1
57502	B3KP11
54413	Q9NZ94
54413	B7Z3P8
54413	Q4G160
54413	Q6MZK0
54413	X5D2P6
54413	X5D7L6
54413	X5DNV3
22871	Q8N2Q7
8639	Q16853
8639	Q9UEU7
5578	P17252
5578	L7RSM7
5578	Q7Z727
5579	P05771
5582	P05129
5582	B2R5T1
5582	B7Z3W6
84889	Q8WY07
5725	P26599
9991	O95758
9991	A0A024R163
58155	Q9UKA9
58155	A0A6Q8PFE6
58155	B4DSS8
58155	B4DSU5
5089	P40425
5089	A0A024RCR3
5087	P40424
5087	A1MJ41
5087	A8K5V0
